site,year,month,prcp,srad,tmax,tmin,temp,GDD
Gruver,2018,May,73.32,377.5712903,82.24670968,58.14703226,70.19687097,610.596
Gruver,2018,Jun,112.5,349.279,84.3788,64.2236,74.3012,700.083
Gruver,2018,Jul,70.56,397.1790323,84.03393548,63.30954839,73.67174194,716.139
Gruver,2018,Aug,155.91,348.8248387,84.43516129,63.93141935,74.18329032,727.857
Gruver,2018,Sep,160.95,334.6223333,79.2458,57.4388,68.3423,531.576
Gruver,2019,May,276.12,339.1164516,70.09380645,51.06664516,60.58022581,327.159
Gruver,2019,Jun,142.12,384.3866667,80.243,60.7748,70.5089,606.753
Gruver,2019,Jul,34.23,405.3745161,87.00103226,66.98445161,76.99274194,805.437
Gruver,2019,Aug,92.43,356.0387097,81.34729032,61.70522581,71.52625806,664.047
Gruver,2019,Sep,215.51,313.0956667,80.1656,60.6074,70.3865,604.827
Gruver,2020,May,132.37,350.1848387,68.60154839,50.05748387,59.32951613,289.665
Gruver,2020,Jun,124.63,394.8116667,83.1272,62.3294,72.7283,672.642
Gruver,2020,Jul,112.11,367.4403226,85.21032258,66.5843871,75.89735484,781.992
Gruver,2020,Aug,11.4,408.7496774,83.34587097,61.29180645,72.31883871,673.389
Gruver,2020,Sep,115.2,328.5033333,74.4908,53.2172,63.854,414.756
Gruver,2021,May,184.17,341.506129,68.84135484,50.48251613,59.66193548,300.096
Gruver,2021,Jun,151.93,385.672,83.048,62.9384,72.9932,676.989
Gruver,2021,Jul,130.41,362.4474194,82.19096774,64.79135484,73.49116129,719.19
Gruver,2021,Aug,69.42,375.5429032,84.36896774,64.022,74.19548387,732.96
Gruver,2021,Sep,37.49,369.9626667,81.1652,56.5964,68.8808,561.96
Longwell,2019,May,138.76,357.9706452,72.27296774,52.56122581,62.41709677,385.083
Longwell,2019,Jun,132.83,367.0366667,78.9734,60.0974,69.5354,577.566
Longwell,2019,Jul,122.63,382.6464516,85.97851613,65.57348387,75.776,772.983
Longwell,2019,Aug,67.61,364.7825806,81.78451613,61.58909677,71.68680645,667.044
Longwell,2019,Sep,14.95,375.0076667,82.7666,58.79,70.7783,609.75
Longwell,2020,May,158.37,359.3645161,68.26477419,48.98909677,58.62693548,269.325
Longwell,2020,Jun,105.24,413.618,81.932,59.9276,70.9298,622.926
Longwell,2020,Jul,122.64,377.6587097,85.40832258,64.97890323,75.1936129,760.311
Longwell,2020,Aug,70.36,385.9448387,80.81193548,60.10612903,70.45903226,632.043
Longwell,2020,Sep,27.23,364.6213333,75.776,52.328,64.052,420.975
Smith,2019,May,256.51,340.9654839,71.48735484,51.87025806,61.67880645,360.756
Smith,2019,Jun,126.63,385.4733333,80.9036,60.9404,70.922,617.661
Smith,2019,Jul,51.38,383.7409677,87.31225806,67.24922581,77.28074194,810.414
Smith,2019,Aug,102.77,358.1022581,82.21419355,61.93806452,72.07612903,678.969
Smith,2019,Sep,222.34,315.7143333,81.0596,60.8672,70.9634,621.504
Smith,2020,May,130.83,355.4619355,69.42780645,50.45290323,59.94035484,307.926
Smith,2020,Jun,40.59,406.2436667,84.7478,62.3984,73.5731,690.984
Smith,2020,Jul,181.78,365.973871,86.78270968,66.68309677,76.73290323,794.475
Smith,2020,Aug,12.66,407.6448387,83.87251613,61.16174194,72.51712903,679.158
Smith,2020,Sep,145.6,325.323,75.2996,53.603,64.4513,433.539
Smith,2021,May,164.2,356.4574194,70.27032258,50.93425806,60.60229032,328.248
Smith,2021,Jun,170.59,372.5266667,84.2192,63.782,74.0006,703.8
Smith,2021,Jul,82.89,367.9912903,82.88483871,65.43470968,74.15977419,735.993
Smith,2021,Aug,103.4,377.4677419,85.43329032,65.03116129,75.23222581,758.943
Smith,2021,Sep,26.54,367.9773333,82.268,57.3782,69.8231,583.659
Steiner,2019,May,194.81,358.3222581,70.99670968,51.5363871,61.26654839,349.263
Steiner,2019,Jun,99.77,383.0803333,79.445,59.6444,69.5447,574.956
Steiner,2019,Jul,126.07,372.7783871,86.39251613,66.39741935,76.39496774,786.744
Steiner,2019,Aug,70.82,369.423871,81.07264516,61.00496774,71.03880645,650.025
Steiner,2019,Sep,38.2,352.085,80.273,58.4672,69.3701,573.795
