"","pH","Su","P","Ca","Mg","K","Na","SOC","TN","InorgN","Bray1P","POMC","POMN","PMN","Sand","Silt","Clay","FDA"
"183",7.25,22.5,666.5,3203,590,389,31.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"184",7.15,21,537.5,2743,541.5,296,29.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"185",7.25,21,529,3011,615,268,37,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"186",7.25,27,793,3530.5,586,375,34.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"187",7.3,22,654.5,3119.5,602.5,357,36,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"188",7.2,20.5,647,3059,550,286.5,33.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"189",6.85,9.5,64.5,5263.5,678,204.5,29,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"190",6.75,8.5,66,5122.5,679,217,25.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"191",6.75,9.5,83,5188,685.5,295,26.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"192",6.55,10.5,82.5,4920.5,655,287,28,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"193",6.75,8.5,45.5,4763.5,659,158,27.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"194",6.85,9.5,62.5,5039,676.5,265,29,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"195",6.55,11.5,47.5,5441.5,753.5,205.5,31,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
